I,K, step, gamma, instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound, ue_assign, ue_misplace,POA_assign,POA_misplace
20,4,10,45,8,202830,578,228840,202830,207518,578,1443,228840,271998,6500,33375,271998,272453,0.00167281,1125,207063,1443,1.020869694,2.496539792
20,4,10,45,9,200070,578,226080,200070,205182,578,1443,226080,269907,6625,33417,269907,270117,0.000778046,709,204972,1443,1.024501425,2.496539792
20,4,10,45,10,205510,578,231520,205510,210342,578,1443,231520,274763,6584,30875,274763,275277,0.0018707,666,209828,1443,1.021011143,2.496539792
20,4,10,50,1,205973,578,234873,205973,211018,578,1443,234873,282749,6750,31000,282749,283168,0.00148188,541,210599,1443,1.022459254,2.496539792
20,4,10,50,2,194543,578,223443,194543,200139,578,1443,223443,271806,6625,31958,271806,272289,0.001777,833,199656,1443,1.026282107,2.496539792
20,4,10,50,3,193382,578,222282,193382,198503,578,1443,222282,269944,6541,29083,269944,270653,0.00262647,708,197794,1443,1.022814947,2.496539792
20,4,10,50,4,188408,578,217308,188408,193632,578,1443,217308,265515,7041,29083,265515,265782,0.00100559,625,193365,1443,1.026309923,2.496539792
20,4,10,50,5,197611,578,226511,197611,202289,578,1443,226511,274246,6708,29417,274246,274439,0.000703748,792,202096,1443,1.022696105,2.496539792
20,4,10,50,6,198634,578,227534,198634,202365,578,1443,227534,274228,5625,26541,274228,274515,0.00104657,750,202078,1443,1.017338421,2.496539792
20,4,10,50,7,191301,578,220201,191301,196974,578,1443,220201,268923,5625,28834,268923,269124,0.000747426,750,196773,1443,1.028604137,2.496539792
20,4,10,50,8,195599,578,224499,195599,200643,578,1443,224499,272714,5667,27958,272714,272793,0.000289681,834,200564,1443,1.025383565,2.496539792
20,4,10,50,9,199599,578,228499,199599,204866,578,1443,228499,276664,6750,32958,276664,277016,0.0012723,708,204514,1443,1.024624372,2.496539792
20,4,10,50,10,192950,578,221850,192950,197951,578,1443,221850,269699,6709,28750,269699,270101,0.00149055,833,197549,1443,1.02383519,2.496539792
20,4,20,0,1,196170,3095,196170,196170,205915,578,1443,196170,205915,6458,31083,204884,205915,0.00503212,666,205915,578,1.049676301,1
20,4,20,0,2,183676,2882,183676,184021,191812,578,1443,184021,191812,7083,32709,191365,191812,0.00233585,625,191812,578,1.04429539,1
20,4,20,0,3,187929,3077,187929,188063,198627,578,1443,188063,198627,6583,31084,198337,198627,0.00146216,875,198627,578,1.056925754,1
20,4,20,0,4,191754,3257,191754,191930,202589,578,1443,191930,202589,6458,30583,201631,202589,0.00475125,833,202589,996,1.056504688,1.723183391
20,4,20,0,5,203693,3090,203693,203856,212750,578,1443,203856,212750,5333,24750,211992,212750,0.00357561,834,212750,648,1.044463973,1.121107266
